UniProtID	GeneSymbol	P value	FDR	Log2 FC	FDR2
A0A024RDJ1	DC2	0.042905921	0.044367645	0.120453123	1.352933623
A0A024RDJ3	NOLA1	0.000141459	0.000332037	0.389018779	3.478813519
A0A024RDL1	CCT6A	3.78E-06	1.33E-05	0.287210819	4.876148359
A0A024RDL3	PSPH	0.024023462	0.027404805	-0.416860196	1.562173284
A0A024RDQ8	RFC3	0.033541064	0.036044128	0.115285239	1.443165477
A0A024RDR0	HMGB1	2.51E-06	9.17E-06	0.352864285	5.037630664
A0A024RDS1	HSPH1	5.97E-24	4.51E-22	1.624692342	21.34582346
A0A024RDT3	CAB39L	2.05E-08	1.18E-07	-0.956268078	6.928117993
A0A024RDV7	KPNA3	0.000848773	0.001579208	0.201874032	2.801560665
A0A024RDW8	COL4A2	0.025220278	0.028517889	-0.594190287	1.544882626
A0A024RDY0	RANBP5	3.49E-06	1.23E-05	0.223794932	4.910094889
A0A024RDY3	LAMP1	4.26E-11	3.96E-10	0.656107799	9.402304814
A0A068F658	GBA	0.016632774	0.020068226	-0.852717834	1.697491017
A0A068F7M9	FHOD1	0.003705499	0.005595689	-2.647785053	2.252146431
A0A075B6S2	IGKV2D-29	4.66E-10	3.68E-09	-1.299467574	8.434152181
A0A075B7B1	SYNM	0.046676166	0.047364605	-0.44464821	1.32454608
A0A087WSV8	NUCB2	3.02E-06	1.08E-05	-0.545954627	4.966576245
A0A087WTA8	COL1A2	0.001293464	0.002288323	-0.505313078	2.640482674
A0A087WTM1	ROBO1	0.002277439	0.003707321	-0.460025044	2.430939809
A0A087WTV6	PYCR2	2.49E-11	2.39E-10	0.866842302	9.621602099
A0A087WTY7	GBA3	0.001973201	0.003279136	0.027824493	2.484240571
A0A087WU53	MAGT1	0.007034845	0.009649925	-1.593694393	2.015476062
A0A087WUC6	SPCS2	0.012214636	0.015430264	-0.45900046	1.811626643
A0A087WUM0	SYNJ2BP-COX16	0.002486626	0.003997194	-0.950194294	2.398244773
A0A087WUS0	RPS24	0.000140646	0.00033063	0.349342589	3.480657743
A0A087WUT6	EIF5B	0.011137215	0.014236506	-0.646353465	1.846596585
A0A087WUW6	IKBKG	0.004476785	0.006581257	0.248398458	2.18169115
A0A087WV25	FGFR1OP	0.049231795	0.049471482	-0.042808041	1.305645079
A0A087WVA8	TEX2	5.56E-10	4.29E-09	-1.703360134	8.367542708
A0A087WVM2	CD177	0.00844259	0.0112326	1.00445016	1.949519706
A0A087WVM4	MTHFD1L	1.00E-05	3.20E-05	0.061263405	4.494850022
A0A087WWM1	MUC1	0.001742659	0.002959557	0.930163023	2.528773291
A0A087WWS1	THOC1	0.015823859	0.019212027	0.394860741	1.716426812
A0A087WXU0	RMND1	0.031931697	0.034578711	0.311711629	1.4611912
A0A087WXV4	HNF4A	1.09E-07	5.41E-07	-1.661980378	6.266802735
A0A087WY00	MYO5A	5.97E-05	0.00015439	-1.887982512	3.811380833
A0A087WYL7	MED6	0.026467142	0.029667731	-0.475610605	1.527715667
A0A087WYP2	SELENOH	0.032071956	0.034706318	0.188826992	1.459591458
A0A087WZN1	IDH3B	0.040343151	0.042125597	-0.619594528	1.375453931
A0A087X020	SBDS	0.000200075	0.000450168	0.20017584	3.34662538
A0A087X0C1	KIAA1755	0.004655274	0.006798456	-1.380603403	2.167589709
A0A087X0D5	CTSH	0.028677803	0.031607859	0.064714778	1.500204921
A0A087X0K0	COL15A1	2.13E-06	7.84E-06	-0.872617888	5.105683937
A0A087X0M4	SLC4A1AP	4.13E-06	1.44E-05	-1.406543117	4.841637508
A0A087X0N2	LEPROT	0.002400146	0.003882368	0.398277907	2.410903301
A0A087X0P0	CENPE	0.00063175	0.001227808	0.060833025	2.910869541
A0A087X0R6	SNX12	5.31E-06	1.80E-05	0.359794814	4.744727495
A0A087X0T3	MYH7B	0.015372158	0.018776219	-2.445828161	1.726391858
A0A087X0V5	OAS2	8.12E-05	0.000203257	-1.3903604	3.691954489
A0A087X1J7	GPX3	0.009858845	0.012846374	-0.175048337	1.891219438
A0A087X2H1	HECTD1	0.037830651	0.039878684	-0.893577669	1.399259182
A0A090N7U0	CUL1	0.001803396	0.003036643	-0.428120113	2.517606262
A0A090N7V5	C7orf24	9.08E-08	4.57E-07	0.736598186	6.3400838
A0A090N7V7	LR8	0.008356865	0.011137691	0.449602979	1.953204835
A0A090N7W4	CDK5	1.55E-05	4.70E-05	0.350456685	4.327902142
A0A090N8G0	GARS	1.57E-06	5.97E-06	0.88163188	5.224025669
A0A090N8H1	REPIN1	0.005300317	0.007607688	0.027044881	2.118747307
A0A090N8P3	FKBP9	6.58E-19	2.14E-17	1.60519711	16.66958623
A0A090N8Q5	NYREN18	0.006422888	0.008949263	0.101022637	2.048212729
A0A090N900	RHEB	0.00663441	0.009183878	-0.007871434	2.036973894
A0A096LPI6		2.20E-11	2.13E-10	-0.601772181	9.671620397
A0A0A0MQU0	WDR18	1.37E-11	1.41E-10	0.91855498	9.850780887
A0A0A0MQX8	MBNL1	0.01292201	0.016190426	0.177876809	1.790741724
A0A0A0MQY7	CACHD1	0.000892765	0.001648182	1.184080499	2.782994833
A0A0A0MR66	RBM10	2.05E-05	6.01E-05	-1.991454533	4.221125528
A0A0A0MRA8	EPB41L3	0.000500402	0.000998867	-0.481862647	3.000492335
A0A0A0MRJ0	CDC42BPA	0.042592785	0.044088019	-0.344424866	1.355679415
A0A0A0MRJ6	PCMT1	0.006819234	0.009399977	-0.012659831	2.026873209
A0A0A0MRJ7	F5	0.000403177	0.000823375	-1.859951933	3.084402324
A0A0A0MRM8	MYO6	1.75E-07	8.30E-07	0.914084209	6.080921908
A0A0A0MRM9	NOLC1	1.28E-08	7.58E-08	-1.353159501	7.120330794
A0A0A0MRR7	SNRPC	5.48E-06	1.85E-05	0.573196537	4.732828272
A0A0A0MRT6	ABI1	0.001486398	0.002580981	0.25021218	2.588215193
A0A0A0MS15	IGHV3-49	0.000425492	0.000860912	-0.690032496	3.065041239
A0A0A0MS24	PPP1R12B	2.07E-07	9.62E-07	-1.209442951	6.016824928
A0A0A0MS41	SFXN3	2.97E-07	1.32E-06	0.498320142	5.879426069
A0A0A0MSG2	FHL2	7.08E-21	3.22E-19	0.932297163	18.49214413
A0A0A0MT26	ATP1A3	2.31E-11	2.23E-10	-0.77581183	9.651695137
A0A0A0MT35	FAM213B	0.001107883	0.00199303	-3.78601159	2.700486164
A0A0A0MT83	IVD	4.36E-05	0.000117032	-0.971868364	3.931695373
A0A0A0MTB8	WDR36	0.012919553	0.016190426	-1.129531469	1.790741724
A0A0A0MTH3	ILK	0.020402772	0.023863612	-0.882984898	1.622263821
A0A0A0MTQ5	C14orf2	8.45E-08	4.29E-07	-0.730665018	6.367542708
A0A0A0MTS7	TTN	2.40E-05	6.88E-05	-0.769690007	4.162411562
A0A0A1TTQ0	LU	4.65E-25	4.00E-23	-1.086410273	22.39794001
A0A0A8K9B4	FAM3D	2.44E-13	3.32E-12	-1.158196349	11.47886192
A0A0B4J1W0	MED24	0.002098007	0.003451345	-0.559671649	2.462011626
A0A0B4J1Z1	SRSF7	1.42E-06	5.46E-06	0.543948662	5.262807357
A0A0B4J2C2	DLGAP4	0.045370622	0.046297774	-0.026969703	1.334439889
A0A0B4J2C3	TPT1	2.40E-12	2.75E-11	0.683075296	10.56066731
A0A0B4J2F8	POLR2J3	0.001005065	0.001831477	0.604113936	2.737198531
A0A0C4DFN3	MGLL	1.01E-06	4.06E-06	-0.607700556	5.391473966
A0A0C4DFU2	SOD2	5.03E-12	5.54E-11	0.72477222	10.25649024
A0A0C4DFX2	FRY	0.001440653	0.002512824	-0.474284443	2.599837929
A0A0C4DFX9	NELFA	0.023500126	0.026867205	-1.421411853	1.570777511
A0A0C4DG76	HEPH	4.78E-05	0.000127084	-1.03197725	3.895909124
A0A0C4DG86	SYBU	3.03E-11	2.85E-10	0.285829878	9.54515514
A0A0C4DGA2	ECI2	2.72E-11	2.58E-10	-0.737050012	9.588380294
A0A0C4DGQ5	CAPNS1	3.84E-07	1.66E-06	-0.531240325	5.779891912
A0A0C4DGS0	NDUFA6	5.65E-12	6.18E-11	-2.412261565	10.20901152
A0A0C4DH25	IGKV3D-20	0.020520525	0.023983218	-0.537045328	1.620092545
A0A0C4DH36	IGHV3-38	0.004820843	0.007000624	-0.765958053	2.154863247
A0A0D9SER6	ZNF630	0.004922795	0.007141975	-1.010127328	2.146181674
A0A0D9SF53	DDX3X	0.002387822	0.003864453	0.311652079	2.41291197
A0A0D9SF54	SPTAN1	7.10E-05	0.000180797	-0.61607487	3.74280878
A0A0F7KYT8	FXR1	0.012918589	0.016190426	-0.546429794	1.790741724
A0A0F7NGI8	LRRFIP1	0.027814556	0.030820996	0.052541968	1.511153331
A0A0G2JH68	DIAPH1	0.002292528	0.003727766	-0.493021694	2.428551357
A0A0G2JMH6	HLA-DRA	0.024605668	0.027965913	-0.344142121	1.553370998
A0A0G2JMZ8	OCLN	0.000379891	0.00078149	-0.649055603	3.107076575
A0A0G2JNW7	SLC12A7	0.00080555	0.001508762	0.355668762	2.821379263
A0A0G2JPZ6	GAL3ST2	0.000351466	0.00073226	-0.460764977	3.135334689
A0A0J9YVP6	PUF60	5.44E-08	2.88E-07	0.567884852	6.540607512
A0A0J9YXF2	PON2	0.011900261	0.015099676	-0.273322243	1.821032371
A0A0J9YY01	MYO15B	0.001372534	0.002413041	-0.913908874	2.617435299
A0A0K0K1A5	TRBV6-5	0.005334053	0.007645475	-0.876854025	2.116595527
A0A0K0K1H8	HEL-S-71p	2.63E-13	3.55E-12	-1.422400505	11.44977165
A0A0K0K1J1	HEL-S-2	7.50E-11	6.65E-10	-0.911173344	9.177178355
A0A0M4FEM1	PYGM	0.001667504	0.002847542	-0.202139794	2.545529862
A0A0R4J2E8	MATR3	3.21E-07	1.42E-06	0.484403479	5.847711656
A0A0S2A4E4	AGL	1.77E-07	8.40E-07	-0.784565707	6.075720714
A0A0S2Z2Z6	ANXA6	0.000734429	0.001397537	-0.486527352	2.854636685
A0A0S2Z366	ACADM	3.48E-13	4.63E-12	-0.992036737	11.33441901
A0A0S2Z3G4	FXN	0.021213729	0.024626061	-1.036405882	1.608605049
A0A0S2Z3I4	RCC1	1.64E-07	7.82E-07	0.684548521	6.106793247
A0A0S2Z3J9	CPA2	0.04952297	0.049699551	-0.054166727	1.303647535
A0A0S2Z3L0	ETFA	0.028417336	0.031343097	-0.074955371	1.503858093
A0A0S2Z3L2	ATP2A2	0.046532254	0.047249544	0.075656088	1.325602378
A0A0S2Z3P9	ACADSB	1.16E-09	8.28E-09	-0.981062994	8.081969663
A0A0S2Z3Q4	CRK	4.37E-09	2.77E-08	-0.814169155	7.557520231
A0A0S2Z3W3	HEXA	4.98E-06	1.70E-05	-0.880055905	4.769551079
A0A0S2Z3W7	ITPA	0.000638764	0.001239106	0.494740144	2.90689154
A0A0S2Z3X8	GDI1	0.008972387	0.011850901	-0.260214237	1.92624863
A0A0S2Z3Y7	GALT	0.000145073	0.000339235	-0.408878079	3.469499347
A0A0S2Z430	PCK2	1.18E-05	3.71E-05	-0.67345742	4.43062609
A0A0S2Z433	NDUFS4	0.035485096	0.037701393	-0.832484533	1.423642603
A0A0S2Z489	PSMD12	0.047615692	0.048112984	-3.255200944	1.317737707
A0A0S2Z491	NPM1	1.26E-20	5.59E-19	1.059981774	18.25258819
A0A0S2Z497	PEX19	0.027285184	0.030375739	-0.13789233	1.517473147
A0A0S2Z4A5	MCM7	0.000308562	0.000652978	0.536456187	3.185101451
A0A0S2Z4B7	SDHC	1.76E-06	6.63E-06	-1.14965488	5.178486472
A0A0S2Z4C3	FH	1.26E-10	1.07E-09	-0.768278897	8.970616222
A0A0S2Z4C5	S100B	0.003792565	0.005705433	-0.457786041	2.24371139
A0A0S2Z4K2	CNBP	0.001675261	0.00285921	0.237592007	2.543753946
A0A0S2Z4P5	SGCE	0.002222058	0.003634174	-1.073481951	2.439594283
A0A0S2Z4Q2	TGFBI	9.81E-11	8.58E-10	0.128971283	9.066512712
A0A0S2Z4R1	YARS	4.46E-05	0.000119365	0.336070721	3.923122998
A0A0S2Z4T1	MCM3	0.000446891	0.000900178	-2.048044168	3.045671605
A0A0S2Z4U9	USH1C	0.011444615	0.014593298	-1.195167013	1.835846549
A0A0S2Z4W1	SRRM1	0.002835734	0.004454304	-0.642501291	2.351220146
A0A0S2Z4W2	GAN	0.005813787	0.008237751	-0.493566454	2.084191339
A0A0S2Z4W8	MPDU1	0.021624674	0.02504676	-0.292547625	1.601248446
A0A0S2Z4Y3	NCK1	0.019788357	0.023312311	1.413118962	1.632414672
A0A0S2Z4Y5	DPM1	8.35E-05	0.00020853	0.481270448	3.680831457
A0A0S2Z4Z0	RBM14	0.000217285	0.000483619	-1.620318384	3.315496645
A0A0S2Z4Z9	NONO	2.27E-05	6.54E-05	0.331197615	4.184422252
A0A0S2Z504	SRSF10	0.000320235	0.000672624	0.23630139	3.172227641
A0A0S2Z523	SURF1	4.53E-06	1.56E-05	-0.599119775	4.806875402
A0A0S2Z569	DAZAP1	0.0277064	0.030726216	0.23445618	1.512490921
A0A0S2Z577	VPS33B	0.000129961	0.00030927	-1.609883756	3.509662206
A0A0S2Z591	HAX1	0.031036197	0.03371511	-0.538772125	1.472175419
A0A0S2Z5F3	TBL2	0.002379902	0.003855666	0.155715384	2.413900594
A0A0S2Z5K8	STRBP	0.027906122	0.030889294	0.001711325	1.510192018
A0A0S2Z5M1	SEC63	0.001855816	0.003110778	-1.52808719	2.507130981
A0A0S2Z5V7	HM13	9.27E-10	6.80E-09	0.700317457	8.167491087
A0A0S2Z5X1	DNAJC19	0.006280238	0.008790062	0.717776505	2.056008062
A0A0S2Z693	MCCC1	0.019594217	0.0231276	-0.532535657	1.635869433
A0A0S2Z6V5	EFHA1	0.027138439	0.030255891	-0.344143887	1.519190053
A0A0S4XQV6	HLA-DPB1	0.000456611	0.00091737	-0.895694921	3.037455466
A0A0U1RQP1	DNM1	0.000116217	0.000280225	-1.515318116	3.552493122
A0A0U1RQQ4	PROCR	0.002441517	0.003930805	-0.560476374	2.4055185
A0A0U1RR80	TNC	0.040705499	0.042399536	0.550274389	1.372638896
A0A0U1RRB9	FGGY	0.009685702	0.012647379	0.40365934	1.897999467
A0A0U2ZQU7	CDH1	0.000880729	0.001628257	-3.028545399	2.788277046
A0A0X9TD88		1.21E-05	3.79E-05	-0.382248157	4.42136079
A0A0X9UWL5		2.24E-07	1.03E-06	-0.651344757	5.987162775
A0A0X9V981		2.00E-05	5.87E-05	-1.010471638	4.231361899
A0A0X9V9B3		1.98E-06	7.37E-06	-0.59750863	5.132532512
A0A109PS54		0.002500048	0.0040146	-0.636571891	2.39635772
A0A125QYY5		3.80E-06	1.33E-05	-0.502132699	4.876148359
A0A126GV87	OR12D2	6.51E-19	2.14E-17	-2.197082053	16.66958623
A0A140T9M0	HLA-C	0.011767485	0.014949583	0.194739143	1.825370921
A0A140VJE3	METAP2	2.49E-06	9.09E-06	0.381352268	5.041436117
A0A140VJI5	DUSP23	0.004608688	0.006746335	-0.405020357	2.170932097
A0A140VJK2		0.000137794	0.000324912	-1.285241978	3.488234249
A0A140VJM4	KCTD12	6.52E-13	8.20E-12	-0.945889879	11.08618615
A0A140VJN3	LRRC40	0.030760089	0.033473897	-0.422139027	1.475293725
A0A140VK84	FN3KRP	0.010776594	0.013844123	-0.579485863	1.858734551
A0A140VK94	RANBP1	5.82E-06	1.95E-05	0.377963734	4.709965389
A0A140VKC4	MECP2	9.38E-12	9.81E-11	-0.822699543	10.00833099
A0A140VKE2	GSTA2	2.33E-07	1.06E-06	-2.36735193	5.974694135
A0A140VKH4	CAPN5	6.85E-14	1.01E-12	-0.931733144	11.99567863
A0A142CHG9		0.000316253	0.000666737	-0.456561517	3.176045443
A0A146IHP0	SUN1	3.54E-05	9.70E-05	0.686850875	4.013228266
A0A161I202	LTF	6.53E-10	4.99E-09	0.718967256	8.301899454
A0A172WC74	HLA-DPA1	0.007132475	0.009749291	-0.470770676	2.011026966
A0A173GMX0	ACTC1	0.000137979	0.000325101	-1.682834224	3.487981695
A0A182DWF2	TXNRD2	0.018924388	0.022431051	0.166794169	1.649150377
A0A193CHQ9		1.83E-11	1.79E-10	-1.093860489	9.747146969
A0A1B0GTH6		7.36E-05	0.000186043	0.85829302	3.730386666
A0A1B0GTM3	ASAH1	5.34E-07	2.26E-06	-0.778413607	5.645891561
A0A1B0GUU9	IGHM	4.61E-10	3.65E-09	-1.152006335	8.437707136
A0A1B0GV09	EHMT1	3.63E-09	2.34E-08	-1.553693436	7.630784143
A0A1B0GVD5	CTSD	4.85E-05	0.00012869	-0.578569378	3.890455199
A0A1B0GW05	DPY19L1	0.000424302	0.000859149	-0.425049585	3.065931511
A0A1C7CYW7	TTC34	1.42E-05	4.36E-05	-0.772655782	4.360513511
A0A1C7CYX9	DPYSL2	1.63E-07	7.82E-07	-0.558346722	6.106793247
A0A1C7CYY4	MYL4	0.001947004	0.003242562	-1.795287955	2.489111711
A0A1C9J6T1		0.003855623	0.005780634	-0.612554427	2.238024527
A0A1L2BU37		9.95E-07	4.00E-06	-0.752537036	5.397940009
A0A1L5BXV2	REEP6	0.000230038	0.000509075	0.573183231	3.29321823
A0A1L7NY50	GALNT2	3.37E-07	1.48E-06	0.709299792	5.829738285
A0A1S5QQR8	HLA-A	0.015690449	0.01907998	0.352488978	1.719422085
A0A1S5UZ23	FXYD3	2.82E-20	1.14E-18	-1.271681464	17.94309515
A0A1S5UZH4	NRCAM	4.39E-06	1.52E-05	-0.897014062	4.818156412
A0A1V0E3X9		1.95E-05	5.75E-05	0.636703081	4.240332155
A0A1W2PNV4		0.00019249	0.000435316	0.218190788	3.36119537
A0A1W2PPH1	ME2	3.74E-12	4.21E-11	-1.006066423	10.3757179
A0A1W2PQ51	DDX17	0.022282395	0.025702793	0.030060349	1.590019681
A0A1W2PQL8	SLC35A3	0.010750858	0.013816793	-0.269539468	1.859592749
A0A1W2PQV2	GCSH	0.000244405	0.000536271	0.189586658	3.270615688
A0A1W2PRB8		4.84E-10	3.81E-09	-0.714225185	8.419075024
A0A1W6IYJ0		0.034890761	0.037184784	-2.101299142	1.429634737
A0A1W6IYJ9		0.000295116	0.000629256	-0.52309629	3.201172635
A0A1W6IYK6		5.55E-06	1.87E-05	-0.612611391	4.728158393
A0AUM2	FOLR2	2.96E-06	1.06E-05	-0.95826565	4.974694135
A0AV96	RBM47	3.84E-07	1.66E-06	-0.996089919	5.779891912
A0AVG7	BCAS1	0.007883126	0.010583763	-1.033356481	1.975359894
A0JP06	KIAA1683	0.04629159	0.047020591	0.548882173	1.327711917
A0JP10	ERCC6	4.58E-05	0.000122417	0.754997588	3.912158268
A0M8W4	UBE2V2	3.21E-06	1.14E-05	0.478027849	4.943095149
A0MNP2	WDR57	0.004020164	0.005983859	0.370067326	2.223018648
A0N5G5	V<kappa>3	1.16E-12	1.39E-11	-1.019583792	10.8569852
A0PJ79	MRPL1	0.010564228	0.013605179	-1.317137807	1.86629574
A1A5C5	RRBP1	0.036377486	0.03847786	-1.158644628	1.41478909
A1L020	MEX3A	2.56E-07	1.16E-06	-0.938926407	5.935542011
A1X283	SH3PXD2B	1.41E-07	6.90E-07	0.896184644	6.161150909
A2J1M2		5.94E-07	2.49E-06	-0.66706203	5.603800653
A2J1N0		0.000121867	0.000292053	-0.763262026	3.534538328
A2J1N5		0.000799839	0.0015017	-0.630921324	2.823416819
A2MYD2	V1-19	8.58E-06	2.78E-05	-0.478646554	4.555955204
A2MYE2	A30	7.24E-10	5.47E-09	-0.708065634	8.262012674
A2NB44	IGH@	6.80E-12	7.31E-11	-1.347349872	10.13608262
A2NB45		1.15E-08	6.85E-08	-0.731826898	7.164309429
A2NYU7		0.000379817	0.00078149	-0.830473607	3.107076575
A2RTY6	ITIH2	0.000378847	0.000780379	-0.592086324	3.107694426
A2RUM7	RPL5	0.01025829	0.013303974	0.050429975	1.876018613
A2VCK8	TMSB4X	0.002835711	0.004454304	0.148103294	2.351220146
A3F768	NRF	2.77E-05	7.80E-05	-1.150676339	4.107905397
A3KC71	okuribin	0.047336247	0.047904031	-0.629500256	1.31962794
A3KFL2	EXOSC2	0.021337544	0.024751232	-1.328680914	1.606403179
A3KLL5	ATP1B1	1.50E-10	1.27E-09	-0.709815552	8.896196279
A3KMH1	VWA8	0.00244765	0.00393863	-0.794436297	2.404654815
A3KPE2	APOC3	3.91E-09	2.51E-08	-1.062815892	7.600326279
A3R0T8	HIST1H1E	7.17E-05	0.000182306	0.20150924	3.739199038
A4D0R1	SYPL	0.007197863	0.009816997	0.231823261	2.008021342
A4D0V4	CAPZA2	0.000387409	0.000794843	-0.422071132	3.099718646
A4D0W0	LSM8	0.00023498	0.00051853	0.366282269	3.285226112
A4D177	CBX3	0.026389946	0.02960025	-0.930768088	1.528704621
A4D1A8	LOC392742	0.007897186	0.010598043	-0.946218558	1.974774323
A4D1K0	ATP6V1F	0.014199259	0.017556272	-0.303067493	1.755567699
A4D1T3	MRPS33	0.001879485	0.003143645	-0.456013612	2.502566503
A4D1U3	SSBP1	2.08E-10	1.72E-09	0.685780507	8.764471553
A4D1U5	FLJ10842	0.034039476	0.036465819	0.061439182	1.438114028
A4D275	ARPC1B	0.00136571	0.002405141	0.319460596	2.618859458
A5PL27	CP	2.08E-10	1.72E-09	-1.524605935	8.764471553
A5PLM5	EXOSC9	0.001917758	0.003202301	-0.921859801	2.494537849
A5YKK6	CNOT1	0.015947619	0.019339533	0.018586577	1.713554017
A6NC98	CCDC88B	0.00031687	0.000667368	0.257815609	3.175634621
A6NCE7	MAP1LC3B2	0.006411384	0.008937256	-0.039734162	2.048795802
A6ND91	ASPDH	0.000159738	0.000369066	-0.709927624	3.432895962
A6NDG6	PGP	0.000171194	0.000392024	0.382288575	3.406687344
A6NFX8	NUDT5	4.31E-07	1.85E-06	0.488796647	5.732828272
A6NHL2	TUBAL3	0.023091341	0.026484311	0.277247536	1.577011321
A6NHR9	SMCHD1	0.006906296	0.00950095	-1.454293092	2.022232967
A6NLP5	TTC36	0.005328177	0.007640591	-0.898961407	2.116873047
A6NNI4	CD9	9.91E-07	4.00E-06	-0.713681572	5.397940009
A7BI36	RRBP1	0.020373389	0.023838252	0.077688548	1.622725594
A7E261	OPLAH	0.003006269	0.004679441	-0.410308671	2.329806024
A7E2F7	CLIP2	0.000238847	0.000525908	-1.972960588	3.279090223
A7E2V4	ZSWIM8	7.39E-07	3.04E-06	-1.070252004	5.517126416
A7MD03	CCDC132	0.040047447	0.041887465	-0.693901599	1.377915922
A7UNU5	ETFDH	2.62E-19	9.31E-18	-1.34094617	17.03105032
A7YF73	TSHZ1	0.009642406	0.012600337	-1.140556379	1.899617839
A8ASI8	BID	3.40E-07	1.49E-06	0.389010195	5.826813732
A8K0R3	OGN	1.96E-38	1.52E-35	-2.456837753	34.81815641
A8K2H6		3.43E-09	2.23E-08	-1.093137157	7.651695137
A8K4W7	SUCLG1	7.37E-10	5.54E-09	-1.002622975	8.256490235
A8K517	RPS23	0.001803742	0.003036643	0.108971777	2.517606262
A8K644	SFRS4	0.028712907	0.031635288	-0.243936597	1.499828207
A8K6S3		1.84E-06	6.94E-06	-0.715143215	5.15864053
A8K737	FUT3	0.027695072	0.030726216	-0.302159231	1.512490921
A8K761	NDUFB10	0.013386785	0.016725378	-0.434110633	1.776624058
A8K7I4	CLCA1	1.91E-35	1.19E-32	-2.701472411	31.92445304
A8K8U3		0.001503487	0.002606268	0.634904789	2.583980928
A8KA82	DNAJC3	0.016766743	0.020192783	0.045602706	1.694803822
A8KAH9	RAP1A	2.30E-07	1.05E-06	-0.592366376	5.978810701
A8MQB8	FMR1	0.047347008	0.047904031	-2.260120514	1.31962794
A8MU27	SUMO3	4.59E-05	0.000122533	0.530008222	3.911746933
A8MWD9	SNRPGP15	0.000553953	0.001098034	0.29526356	2.959384212
A9QQ22	WASH	0.005064108	0.007316135	0.364784413	2.135718289
A9X9L0	DSC2	0.008381743	0.011161237	-0.363073913	1.95228767
B0QYK0	EWSR1	0.010291616	0.013331733	-0.044151661	1.875113393
B0UZZ8	C6orf11	0.017576961	0.021043416	-0.581635646	1.676883759
B0YIY3	CAMK1	4.16E-06	1.44E-05	-0.531827387	4.841637508
B0YJ56	OSBPL1A	0.000105197	0.000256652	0.691520688	3.590655347
B0YJA4	THY1	1.62E-11	1.61E-10	0.878038185	9.793174124
B0ZBE2	AGT	1.64E-06	6.23E-06	-0.986515586	5.205511953
B1AK13	HMGCL	2.47E-05	7.03E-05	-0.409932419	4.153044675
B1AKK2	DDAH1	6.18E-09	3.84E-08	-0.802879457	7.415668776
B1AKN5	NFIA	0.001149485	0.002058303	-0.64171906	2.686490693
B1ALW7	COG2	0.017203932	0.020652724	-0.625070786	1.685022659
B1AMU7	EXOSC1	0.003087573	0.004780899	0.243031554	2.320490431
B1AQP2	PFDN2	4.90E-14	7.47E-13	0.934026985	12.1266794
B1N7B6		1.35E-06	5.26E-06	-0.529301244	5.279014256
B1Q3L0	TRIM5	0.027349317	0.030436192	-1.267647157	1.516609685
B2CM70	GSDML	0.000307109	0.000650575	-0.839038173	3.18670263
B2R491	RPS4X	0.000410394	0.000836458	0.141083347	3.077555861
B2R4C5	LYZ	6.65E-21	3.07E-19	1.397125152	18.51286162
B2R4W8	hCG_1994130	0.02673563	0.029914532	-0.150832928	1.524117787
B2R582		0.000157735	0.000364982	-0.515798297	3.437728553
B2R5U3	EHD1	1.60E-11	1.60E-10	-1.353930224	9.795880017
B2R6E5	POR	0.001273502	0.002259462	0.501860267	2.645994958
B2R6F3	SFRS3	1.86E-06	6.99E-06	0.173089285	5.155522824
B2R6L0		3.61E-07	1.58E-06	-1.19321738	5.801342913
B2R7B5		0.002924126	0.004569962	0.288727759	2.340087411
B2R7W3	BCAS2	2.64E-06	9.57E-06	0.429570918	5.019088062
B2R941		4.65E-26	5.76E-24	-2.310926998	23.23957752
B2RAR3	QTRT1	1.97E-06	7.35E-06	0.852164266	5.133712661
B2RB70	NCALD	0.000268845	0.000581651	-0.517805305	3.235337521
B2RBJ5	AGXT2	0.003273965	0.005032868	-1.887271302	2.29818446
B2RDF2	PES1	0.001183507	0.002112414	-0.494437605	2.675220963
B2RDK5		0.013255834	0.016568455	-0.383576116	1.780717987
B2RDU6	MVK	8.13E-06	2.64E-05	-0.776405723	4.578396073
B2RE76	CHMP2B	0.003032095	0.004712534	-1.522047019	2.326745503
B2RMS9	ITIH4	4.96E-05	0.000131365	-0.958078833	3.88152033
B2RNR6	ZFR	0.006913078	0.009503926	-0.048549476	2.022096954
B2RTQ2	TBC1D2B	0.002624422	0.00417534	-0.842906368	2.379308154
B2RU06	EIF4G1	1.89E-07	8.88E-07	0.412815789	6.051587034
B2RU35	TNS1	0.00087995	0.001628257	-1.163543064	2.788277046
B2ZDQ1	NGAL	3.08E-22	1.70E-20	1.709629621	19.76955108
B2ZZ89	SPTBN1	0.000364136	0.00075258	-0.423255874	3.123447327
B2ZZ90	ACACA	0.001110561	0.001996687	-3.039090504	2.69969001
B3GQE6	DDX27	5.23E-06	1.77E-05	-1.023806791	4.752026734
B3KM21	FAM36A	0.009956554	0.012962781	-0.163468995	1.887301816
B3KM26		3.49E-05	9.59E-05	0.838253631	4.018181393
B3KMS0		0.001830565	0.003078452	0.072587131	2.511667614
B3KNK9	GOLPH2	0.000138215	0.00032541	-0.629673323	3.487569105
B3KQM8		0.002999218	0.004670814	0.404300631	2.330607427
B3KRZ3	IMPDH	1.00E-05	3.19E-05	-0.030476454	4.496209317
B3KS36		1.67E-05	5.01E-05	0.528274368	4.300162274
B3KTR3		7.72E-19	2.49E-17	1.43653247	16.60380065
